region,period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
34000000000 Костромская область,117 январь-апрель,"1,438","1,511","1,373","1,593","1,535","1,477","1,321","1,320","1,308","1,157",846,978,944,709,667
34000000000 Костромская область,67 май,154,153,252,171,163,222,180,225,208,160,178,156,117,141,27
34000000000 Костромская область,121 январь-май,"1,592","1,664","1,625","1,764","1,698","1,699","1,501","1,545","1,516","1,317","1,024","1,134","1,061",850,694
34000000000 Костромская область,66 июнь,531,564,600,595,595,666,736,670,611,515,499,544,405,415,302
34000000000 Костромская область,120 январь-июнь,"2,123","2,228","2,225","2,359","2,293","2,365","2,237","2,215","2,127","1,832","1,523","1,678","1,466","1,265",996
34000000000 Костромская область,65 июль,688,824,679,684,868,822,823,790,741,713,677,646,537,495,425
34000000000 Костромская область,119 январь-июль,"2,811","3,052","2,904","3,043","3,161","3,187","3,060","3,005","2,868","2,545","2,200","2,324","2,003","1,760","1,421"
34000000000 Костромская область,60 август,850,884,"1,089",910,863,905,934,953,897,760,620,674,689,577,493
34000000000 Костромская область,116 январь-август,"3,661","3,936","3,993","3,953","4,024","4,092","3,994","3,958","3,765","3,305","2,820","2,998","2,692","2,337","1,914"
34000000000 Костромская область,108 сентябрь,756,718,687,759,714,837,737,619,618,568,535,494,424,402,374
34000000000 Костромская область,125 январь-сентябрь,"4,417","4,654","4,680","4,712","4,738","4,929","4,731","4,577","4,383","3,873","3,355","3,492","3,116","2,739","2,288"
34000000000 Костромская область,105 октябрь,429,552,489,489,548,563,419,466,426,399,275,303,144,328,292
34000000000 Костромская область,124 январь-октябрь,"4,846","5,206","5,169","5,201","5,286","5,492","5,150","5,043","4,809","4,272","3,630","3,795","3,260","3,067","2,580"
34000000000 Костромская область,104 ноябрь,399,555,464,391,385,558,424,411,341,398,268,308,166,269,198
34000000000 Костромская область,123 январь-ноябрь,"5,245","5,761","5,633","5,592","5,671","6,050","5,574","5,454","5,150","4,670","3,898","4,103","3,426","3,336","2,778"
34000000000 Костромская область,62 декабрь,436,530,344,379,396,511,384,350,361,397,239,282,180,256,211
34000000000 Костромская область,118 январь-декабрь,"5,681","6,291","5,977","5,971","6,067","6,561","5,958","5,804","5,511","5,067","4,137","4,385","3,606","3,592","2,989"
38000000000 Курская область,115 январь,551,530,499,566,515,499,418,461,448,471,359,421,365,311,288
38000000000 Курская область,114 февраль,635,610,561,794,616,556,576,554,679,500,414,547,361,345,444
38000000000 Курская область,M01_02 январь-февраль,"1,186","1,140","1,060","1,360","1,131","1,055",994,"1,015","1,127",971,773,968,726,656,732
38000000000 Курская область,68 март,492,446,646,358,274,484,303,807,469,281,455,268,280,428,240
38000000000 Курская область,122 январь-март,"1,678","1,586","1,706","1,718","1,405","1,539","1,297","1,822","1,596","1,252","1,228","1,236","1,006","1,084",972
38000000000 Курская область,61 апрель,659,926,336,764,"1,074",710,784,244,753,818,202,635,662,227,245
38000000000 Курская область,117 январь-апрель,"2,337","2,512","2,042","2,482","2,479","2,249","2,081","2,066","2,349","2,070","1,430","1,871","1,668","1,311","1,217"
38000000000 Курская область,67 май,346,378,546,429,352,421,362,486,483,373,467,303,247,349,119
38000000000 Курская область,121 январь-май,"2,683","2,890","2,588","2,911","2,831","2,670","2,443","2,552","2,832","2,443","1,897","2,174","1,915","1,660","1,336"
38000000000 Курская область,66 июнь,835,975,938,826,819,"1,063","1,051","1,214","1,013",867,843,841,775,847,527
38000000000 Курская область,120 январь-июнь,"3,518","3,865","3,526","3,737","3,650","3,733","3,494","3,766","3,845","3,310","2,740","3,015","2,690","2,507","1,863"
38000000000 Курская область,65 июль,"1,100","1,352","1,048","1,133","1,346","1,307","1,153","1,174","1,171","1,159","1,023","1,212",935,910,658
38000000000 Курская область,119 январь-июль,"4,618","5,217","4,574","4,870","4,996","5,040","4,647","4,940","5,016","4,469","3,763","4,227","3,625","3,417","2,521"
38000000000 Курская область,60 август,"1,144","1,285","1,523","1,323","1,201","1,220","1,306","1,415","1,381","1,284",861,983,"1,084","1,090",902
38000000000 Курская область,116 январь-август,"5,762","6,502","6,097","6,193","6,197","6,260","5,953","6,355","6,397","5,753","4,624","5,210","4,709","4,507","3,423"
38000000000 Курская область,108 сентябрь,"1,257","1,325",973,"1,055","1,079","1,286","1,195","1,130","1,020","1,010",883,"1,055",890,861,707
38000000000 Курская область,125 январь-сентябрь,"7,019","7,827","7,070","7,248","7,276","7,546","7,148","7,485","7,417","6,763","5,507","6,265","5,599","5,368","4,130"
38000000000 Курская область,105 октябрь,776,990,846,857,962,987,784,746,781,826,538,556,493,664,578
38000000000 Курская область,124 январь-октябрь,"7,795","8,817","7,916","8,105","8,238","8,533","7,932","8,231","8,198","7,589","6,045","6,821","6,092","6,032","4,708"
38000000000 Курская область,104 ноябрь,795,"1,170",810,720,724,"1,061",718,663,688,703,428,538,458,632,335
38000000000 Курская область,123 январь-ноябрь,"8,590","9,987","8,726","8,825","8,962","9,594","8,650","8,894","8,886","8,292","6,473","7,359","6,550","6,664","5,043"
38000000000 Курская область,62 декабрь,492,"1,030",501,575,425,990,583,504,513,657,363,397,407,511,278
38000000000 Курская область,118 январь-декабрь,"9,082","11,017","9,227","9,400","9,387","10,584","9,233","9,398","9,399","8,949","6,836","7,756","6,957","7,175","5,321"
42000000000 Липецкая область,115 январь,604,638,517,621,633,553,482,474,443,477,375,430,395,353,317
42000000000 Липецкая область,114 февраль,652,670,566,826,460,609,666,535,643,607,429,577,395,372,493
42000000000 Липецкая область,M01_02 январь-февраль,"1,256","1,308","1,083","1,447","1,093","1,162","1,148","1,009","1,086","1,084",804,"1,007",790,725,810
42000000000 Липецкая область,68 март,478,313,708,303,222,403,240,742,386,221,448,225,222,397,216
42000000000 Липецкая область,122 январь-март,"1,734","1,621","1,791","1,750","1,315","1,565","1,388","1,751","1,472","1,305","1,252","1,232","1,012","1,122","1,026"
42000000000 Липецкая область,61 апрель,714,"1,090",340,830,"1,162",695,819,200,695,816,191,748,705,236,347
42000000000 Липецкая область,117 январь-апрель,"2,448","2,711","2,131","2,580","2,477","2,260","2,207","1,951","2,167","2,121","1,443","1,980","1,717","1,358","1,373"
42000000000 Липецкая область,67 май,330,345,571,404,406,360,339,414,368,292,354,271,244,359,128
42000000000 Липецкая область,121 январь-май,"2,778","3,056","2,702","2,984","2,883","2,620","2,546","2,365","2,535","2,413","1,797","2,251","1,961","1,717","1,501"
42000000000 Липецкая область,66 июнь,918,886,"1,077","1,119",635,"1,060","1,055","1,313","1,010",785,993,877,703,837,561
42000000000 Липецкая область,120 январь-июнь,"3,696","3,942","3,779","4,103","3,518","3,680","3,601","3,678","3,545","3,198","2,790","3,128","2,664","2,554","2,062"
42000000000 Липецкая область,65 июль,"1,167","1,403","1,052","1,056","1,496","1,343","1,205","1,133","1,113","1,085","1,122","1,278",989,916,724
42000000000 Липецкая область,119 январь-июль,"4,863","5,345","4,831","5,159","5,014","5,023","4,806","4,811","4,658","4,283","3,912","4,406","3,653","3,470","2,786"
42000000000 Липецкая область,60 август,"1,243","1,227","1,592","1,365","1,184","1,199","1,253","1,410","1,407","1,295",922,"1,030","1,110","1,088",888
42000000000 Липецкая область,116 январь-август,"6,106","6,572","6,423","6,524","6,198","6,222","6,059","6,221","6,065","5,578","4,834","5,436","4,763","4,558","3,674"
42000000000 Липецкая область,108 сентябрь,"1,501","1,562","1,233","1,268","1,306","1,558","1,393","1,282","1,018","1,122",937,"1,127",949,877,763
42000000000 Липецкая область,125 январь-сентябрь,"7,607","8,134","7,656","7,792","7,504","7,780","7,452","7,503","7,083","6,700","5,771","6,563","5,712","5,435","4,437"
42000000000 Липецкая область,105 октябрь,870,957,905,945,944,"1,085",762,771,844,821,610,616,579,571,565
42000000000 Липецкая область,124 январь-октябрь,"8,477","9,091","8,561","8,737","8,448","8,865","8,214","8,274","7,927","7,521","6,381","7,179","6,291","6,006","5,002"
42000000000 Липецкая область,104 ноябрь,830,"1,153",791,786,792,"1,166",759,773,731,661,488,567,253,590,385
42000000000 Липецкая область,123 январь-ноябрь,"9,307","10,244","9,352","9,523","9,240","10,031","8,973","9,047","8,658","8,182","6,869","7,746","6,544","6,596","5,387"
42000000000 Липецкая область,62 декабрь,463,674,460,188,410,676,518,408,455,550,340,427,201,460,305
42000000000 Липецкая область,118 январь-декабрь,"9,770","10,918","9,812","9,711","9,650","10,707","9,491","9,455","9,113","8,732","7,209","8,173","6,745","7,056","5,692"
46000000000 Московская область,115 январь,"2,982","3,024","2,793","3,222","3,185","2,870","2,793","2,779","3,152","3,269","2,899","2,806","2,970","2,708","2,482"
46000000000 Московская область,114 февраль,"2,976","3,196","2,819","3,924","2,865","3,110","3,467","3,054","4,282","3,820","3,279","3,585","3,105","3,016","4,188"
46000000000 Московская область,M01_02 январь-февраль,"5,958","6,220","5,612","7,146","6,050","5,980","6,260","5,833","7,434","7,089","6,178","6,391","6,075","5,724","6,670"
